red,green,blue,label
4,18,104,dark
250,153,203,light
215,185,198,light
147,128,205,light
131,194,232,light
83,105,3,dark
94,43,67,dark
127,188,142,light
232,180,213,light
73,100,14,dark
117,59,48,dark
52,81,109,dark
149,159,131,light
185,222,247,light
202,232,252,light
139,205,254,light
202,161,168,light
252,163,181,light
240,165,207,light
35,44,53,dark
165,251,230,light
94,19,82,dark
99,53,19,dark
240,189,150,light
253,190,150,light
252,246,167,light
243,183,192,light
254,167,235,light
5,3,116,dark
35,44,59,dark
65,76,96,dark
201,160,131,light
108,40,56,dark
174,235,247,light
47,90,38,dark
104,102,123,dark
4,85,72,dark
243,170,177,light
28,103,94,dark
212,191,231,light
144,164,137,light
128,195,146,light
161,232,236,light
81,21,8,dark
230,147,159,light
125,90,98,dark
68,77,109,dark
215,164,242,light
190,157,150,light
199,236,160,light
184,242,231,light
216,215,243,light
69,23,47,dark
227,184,208,light
220,128,138,light
64,64,112,dark
51,15,54,dark
184,218,238,light
252,153,147,light
158,165,145,light
222,166,175,light
204,196,178,light
139,230,215,light
14,28,49,dark
223,229,244,light
181,134,148,light
254,235,150,light
214,248,253,light
92,20,93,dark
53,14,104,dark
32,44,122,dark
23,1,106,dark
34,126,78,dark
223,191,205,light
124,83,117,dark
174,232,149,light
67,46,95,dark
75,106,107,dark
88,48,9,dark
27,9,68,dark
75,43,104,dark
211,190,143,light
145,214,179,light
248,244,166,light
136,132,189,light
227,230,228,light
249,164,215,light
93,103,113,dark
45,74,68,dark
185,134,139,light
32,18,101,dark
161,247,212,light
66,19,5,dark
49,65,50,dark
113,63,81,dark
177,226,236,light
240,141,197,light
150,252,248,light
151,128,148,light
83,17,56,dark
253,186,129,light
187,146,156,light
214,147,233,light
202,154,172,light
179,152,248,light
219,135,235,light
194,232,243,light
102,31,84,dark
218,234,246,light
85,46,116,dark
183,136,243,light
12,108,48,dark
81,24,122,dark
202,170,205,light
70,69,76,dark
204,142,197,light
3,9,25,dark
138,134,252,light
167,182,219,light
116,49,3,dark
165,202,249,light
153,183,237,light
4,18,31,dark
247,227,248,light
82,72,121,dark
3,88,108,dark
197,161,174,light
235,220,137,light
211,178,165,light
108,30,13,dark
216,228,231,light
245,154,229,light
238,226,197,light
230,193,204,light
206,140,248,light
169,184,191,light
60,117,82,dark
137,224,236,light
249,130,198,light
69,84,29,dark
207,136,188,light
221,146,223,light
195,198,227,light
41,68,124,dark
95,84,76,dark
44,64,57,dark
92,18,25,dark
60,27,16,dark
99,7,0,dark
30,74,2,dark
89,47,26,dark
77,27,3,dark
88,75,66,dark
119,43,119,dark
47,85,76,dark
216,195,253,light
30,1,13,dark
198,163,232,light
209,249,129,light
138,192,223,light
57,31,36,dark
242,242,240,light
96,91,7,dark
136,213,150,light
40,11,78,dark
205,203,200,light
10,2,99,dark
169,211,193,light
66,7,86,dark
4,17,6,dark
94,24,79,dark
20,52,56,dark
